prev,es,causal_prop,exome_power,hrc_topmed_exome_power,hrc_topmed_power,hrc_power,topmed_power
0.1,1.2,0.5,0.0224789260068686,0.0552606931002186,0.0443334374024352,0.0330939743990009,0.0427724008741805
0.1,1.2,0.75,0.0424601935685295,0.0892912894161723,0.0683733999375585,0.045582266625039,0.0649391195753981
0.1,1.2,1,0.0902279113331252,0.15423040899157,0.0964720574461442,0.0636902903527943,0.0921011551670309
0.1,1.5,0.5,0.137371214486419,0.17702154230409,0.0970964720574461,0.0552606931002186,0.0955354355291914
0.1,1.5,0.75,0.323446768654387,0.38026849828286,0.194505151420543,0.0970964720574461,0.185763346862317
0.1,1.5,1,0.530752419606619,0.596940368404621,0.338432719325632,0.151108335935061,0.327505463627849
0.1,1.8,0.5,0.330939743990009,0.374024352169841,0.189197627224477,0.0864814236653138,0.185138932251015
0.1,1.8,0.75,0.585388698095535,0.637215110833594,0.364345925694661,0.168904152357165,0.358726194192944
0.1,1.8,1,0.709647205744614,0.761785825788324,0.510458944739307,0.236653137683422,0.503590384014986
0.2,1.2,0.5,0.0224789260068686,0.0543240711832657,0.0437090227911333,0.0312207305650952,0.0405869497346238
0.2,1.2,0.75,0.0499531689041524,0.098033093974399,0.0714954729940681,0.0496409615985014,0.0677489853262566
0.2,1.2,1,0.0992819231970028,0.162347798938495,0.102716203559163,0.0658757414923509,0.09834530128005
0.2,1.5,0.5,0.138620043709023,0.181080237277552,0.0989697158913519,0.0561973150171714,0.0961598501404933
0.2,1.5,0.75,0.334686231657821,0.396503278176709,0.203559163284421,0.0999063378083047,0.193880736809241
0.2,1.5,1,0.5410552606931,0.611301904464565,0.343740243521698,0.149859506712457,0.337496097408679
0.2,1.8,0.5,0.321573524820481,0.361848267249454,0.186387761473618,0.0858570090540119,0.182641273805807
0.2,1.8,0.75,0.579768966593818,0.632219793943178,0.375897596003747,0.158289103965033,0.36715579144552
0.2,1.8,1,0.710896034967218,0.765220106150484,0.516390883546675,0.228223540430846,0.503902591320637
