prev,es,causal_prop,hrc_topmed_exome_power,hrc_topmed_power,hrc_power,topmed_power
0.1,1.2,0.5,0.0817983140805495,0.0580705588510771,0.0468310958476428,0.05900718076803
0.1,1.2,0.75,0.175148298470184,0.121760849203871,0.0867936309709647,0.118638776147362
0.1,1.2,1,0.304089915704028,0.20324695597877,0.142366531376834,0.191383078364034
0.1,1.5,0.5,0.376522010615048,0.261005307524196,0.19356852950359,0.255385576022479
0.1,1.5,0.75,0.585076490789884,0.410864814236653,0.285981891976272,0.392444583203247
0.1,1.5,1,0.747112082422729,0.533562285357477,0.382766156728068,0.510458944739307
0.1,1.8,0.5,0.522947236965345,0.366219169528567,0.258507649078988,0.345925694661255
0.1,1.8,0.75,0.727130814861068,0.493911957539806,0.351233218857321,0.467998751170777
0.1,1.8,1,0.836403371838901,0.594130502653762,0.420855448017484,0.566656259756478
0.2,1.2,0.5,0.0867936309709647,0.0618170465188886,0.0483921323758976,0.0583827661567281
0.2,1.2,0.75,0.192319700280987,0.134249141429909,0.0924133624726819,0.125507336871683
0.2,1.2,1,0.319700280986575,0.21635966281611,0.154542616297221,0.20324695597877
0.2,1.5,0.5,0.376209803309397,0.259444270995941,0.188885419918826,0.250078051826413
0.2,1.5,0.75,0.594130502653762,0.414611301904465,0.293787074617546,0.393693412425851
0.2,1.5,1,0.756478301592257,0.538869809553544,0.384951607867624,0.514517639712769
0.2,1.8,0.5,0.52138620043709,0.354355291913831,0.25569778332813,0.342803621604746
0.2,1.8,0.75,0.729004058694973,0.501092725569778,0.351233218857321,0.477052763034655
0.2,1.8,1,0.831408054948486,0.5900718076803,0.413362472681861,0.561973150171714
