prev,es,causal_prop,exome_power,hrc_topmed_exome_power,hrc_topmed_power,hrc_power,topmed_power
0.1,1.2,0.5,0.0362160474555105,0.0689978145488604,0.0530752419606619,0.0399625351233219,0.0505775835154543
0.1,1.2,0.75,0.0858570090540119,0.130814861067749,0.0958476428348423,0.0636902903527943,0.0896034967218233
0.1,1.2,1,0.17702154230409,0.243209491102092,0.158913518576335,0.10833593506088,0.154542616297221
0.1,1.5,0.5,0.282547611614112,0.316578207930066,0.227599125819544,0.158601311270684,0.220730565095223
0.1,1.5,0.75,0.496409615985014,0.541679675304402,0.388073680924134,0.264751795192008,0.378395254448954
0.1,1.5,1,0.67530440212301,0.726194192944115,0.556665625975648,0.37371214486419,0.541991882610053
0.1,1.8,0.5,0.470184202310334,0.49828285981892,0.364658133000312,0.242897283796441,0.354979706525133
0.1,1.8,0.75,0.677177645956915,0.720262254136747,0.541367467998751,0.377770839837652,0.530128004995317
0.1,1.8,1,0.787386824851702,0.830783640337184,0.664689353730877,0.451763971276928,0.656259756478302
0.2,1.2,0.5,0.0346550109272557,0.0661879487980019,0.0499531689041524,0.0384014985950671,0.045582266625039
0.2,1.2,0.75,0.0970964720574461,0.147049640961599,0.104277240087418,0.0727443022166719,0.100530752419607
0.2,1.2,1,0.201061504839213,0.261005307524196,0.173587261941929,0.111770215423041,0.16390883546675
0.2,1.5,0.5,0.286918513893225,0.320949110209179,0.220418357789572,0.156415860131127,0.215735248204808
0.2,1.5,0.75,0.510146737433656,0.556353418669997,0.400249765844521,0.274742428972838,0.387137059007181
0.2,1.5,1,0.677802060568217,0.733999375585389,0.562909772088667,0.38026849828286,0.552606931002186
0.2,1.8,0.5,0.467686543865126,0.496409615985014,0.365282547611614,0.248829222603809,0.359975023415548
0.2,1.8,0.75,0.680299719013425,0.717452388385888,0.54761161411177,0.364345925694661,0.537308773025289
0.2,1.8,1,0.779893849516079,0.825163908835467,0.662816109896972,0.44583203246956,0.650327817670934
